LSAbbreviation, x, y, irregular, code, name
snds,1,1,false,E09000015,Sand Springs
twnw,1,2,false,E09000031,Town West
trky,1,3,false,E09000009,Tulsa Hills
jnks,1,4,false,E09000012,Jenks
nrth,2,0,false,E09000010,North Tulsa
dwnt,2,1,false,E09000001,Downtown
utcs,2,2,false,E09000017,Utica Square
brks,2,3,false,E09000005,Brookside
orlr,2,4,false,E09000030,Oral Roberts
owso,3,0,false,E09000003,Owasso
estl,3,1,false,E09000013,Eastland
midt,3,2,false,E09000014,Midtown
lafp,3,3,false,E09000007,LaFortune Park
sths,3,4,false,E09000016,Southside
bxby,3,5,false,E09000018,Bixby
lynn,4,3,false,E09000020,Lynn Lane
brkn,4,4,false,E09000019,Broken Arrow
